gene_name	gene_id	mondo_disease_id	mondo_ancestor_id	opentargets_label	rna.value
VAPB	ENSG00000124164	MONDO_0012077	MONDO_0005071	brain	10748.0
NRXN1	ENSG00000179915	MONDO_0100038	MONDO_0005071	brain	10738.0
DAG1	ENSG00000173402	MONDO_0018282	MONDO_0005071	nerve	10720.0
KCNH2	ENSG00000055118	MONDO_0000453	MONDO_0004995	heart	10705.5
KCNH2	ENSG00000055118	MONDO_0002442	MONDO_0004995	heart	10705.5
KCNH2	ENSG00000055118	MONDO_0015263	MONDO_0004995	heart	10705.5
RELA	ENSG00000173039	MONDO_0035694	MONDO_0005046	immune organ	10682.5
CLCN5	ENSG00000171365	MONDO_0010225	MONDO_0002118	kidney	10637.5
IL21R	ENSG00000103522	MONDO_0021094	MONDO_0005046	immune organ	10634.0
DYSF	ENSG00000135636	MONDO_0015152	MONDO_0002081	skeletal element	10633.0
SYNJ1	ENSG00000159082	MONDO_0100062	MONDO_0005071	brain	10603.0
TRIP12	ENSG00000153827	MONDO_0100038	MONDO_0005071	brain	10571.0
BCAP31	ENSG00000185825	MONDO_0010334	MONDO_0005071	brain	10561.0
RYR3	ENSG00000198838	MONDO_0019952	MONDO_0002081	musculature	10551.0
CD40	ENSG00000101017	MONDO_0011735	MONDO_0005046	immune organ	10548.0
NKX2-5	ENSG00000183072	MONDO_0800441	MONDO_0004995	heart	10531.5
NKX2-5	ENSG00000183072	MONDO_0005021	MONDO_0004995	heart	10531.5
ANK1	ENSG00000029534	MONDO_0019350	MONDO_0005570	blood	10516.0
HINT1	ENSG00000169567	MONDO_0015626	MONDO_0005071	brain	10503.0
CTNNA3	ENSG00000183230	MONDO_0016587	MONDO_0004995	heart	10499.0
CTNNA3	ENSG00000183230	MONDO_0005453	MONDO_0004995	heart	10499.0
BMPR2	ENSG00000204217	MONDO_0015924	MONDO_0004995	heart	10447.0
BMPR2	ENSG00000204217	MONDO_0005453	MONDO_0004995	heart	10447.0
CTSK	ENSG00000143387	MONDO_0009940	MONDO_0002081	musculature	10416.0
CNTNAP2	ENSG00000174469	MONDO_0100038	MONDO_0005071	brain	10365.5
ARID2	ENSG00000189079	MONDO_0015452	MONDO_0002081	skeletal element	10355.0
STIM1	ENSG00000167323	MONDO_0008051	MONDO_0002081	skeletal element	10335.0
HNRNPR	ENSG00000125944	MONDO_0000508	MONDO_0005071	brain	10331.0
ASH1L	ENSG00000116539	MONDO_0800439	MONDO_0005071	brain	10329.0
MCM4	ENSG00000104738	MONDO_0012383	MONDO_0005046	immune organ	10319.0
ANO5	ENSG00000171714	MONDO_0015152	MONDO_0002081	musculature	10315.0
CDH15	ENSG00000129910	MONDO_0001071	MONDO_0005071	brain	10295.0
NRAS	ENSG00000213281	MONDO_0007893	MONDO_0002081	skeletal element	10288.0
NRAS	ENSG00000213281	MONDO_0015280	MONDO_0002081	skeletal element	10288.0
NRAS	ENSG00000213281	MONDO_0009026	MONDO_0002081	skeletal element	10288.0
CTSF	ENSG00000174080	MONDO_0019260	MONDO_0005071	brain	10252.0
BRAF	ENSG00000157764	MONDO_0018997	MONDO_0005046	immune organ	10242.5
SGCA	ENSG00000108823	MONDO_0015152	MONDO_0002081	musculature	10181.5
PRKG1	ENSG00000185532	MONDO_0019625	MONDO_0004995	vasculature	10154.5
MTOR	ENSG00000198793	MONDO_0100283	MONDO_0005071	brain	10151.0
TBX5	ENSG00000089225	MONDO_0007732	MONDO_0004995	heart	10137.0
MTR	ENSG00000116984	MONDO_0009609	MONDO_0005570	blood	10129.5
TFE3	ENSG00000068323	MONDO_0800439	MONDO_0005071	brain	10127.0
SMC1A	ENSG00000072501	MONDO_0100148	MONDO_0005071	brain	10112.5
RDX	ENSG00000137710	MONDO_0019497	MONDO_0005071	spinal cord	10089.0
YARS1	ENSG00000134684	MONDO_0015626	MONDO_0005071	brain	10076.0
MYO15A	ENSG00000091536	MONDO_0019497	MONDO_0005071	brain	10063.0
EXOC7	ENSG00000182473	MONDO_0100038	MONDO_0005071	brain	10016.0
TAP1	ENSG00000168394	MONDO_0011476	MONDO_0005046	immune organ	10003.0
SRC	ENSG00000197122	MONDO_0014837	MONDO_0005046	immune organ	9962.0
EFEMP2	ENSG00000172638	MONDO_0019625	MONDO_0004995	vasculature	9959.0
KLHL24	ENSG00000114796	MONDO_0005045	MONDO_0004995	heart	9939.0
LIG4	ENSG00000174405	MONDO_0011686	MONDO_0005046	immune organ	9925.0
RAG2	ENSG00000175097	MONDO_0000573	MONDO_0005046	immune organ	9922.0
AHDC1	ENSG00000126705	MONDO_0014358	MONDO_0005071	brain	9912.0
NDUFS8	ENSG00000110717	MONDO_0009723	MONDO_0005071	brain	9899.0
NDUFS8	ENSG00000110717	MONDO_0044970	MONDO_0044970	brain	9899.0
SDHC	ENSG00000143252	MONDO_0017366	MONDO_0005151	endocrine gland	9891.5
SDHC	ENSG00000143252	MONDO_0044970	MONDO_0044970	liver	9891.5
GUSB	ENSG00000169919	MONDO_0009662	MONDO_0002081	skeletal element	9804.0
FANCI	ENSG00000140525	MONDO_0012186	MONDO_0005570	blood	9787.5
GATA4	ENSG00000136574	MONDO_0100009	MONDO_0004995	heart	9757.0
DLG3	ENSG00000082458	MONDO_0019181	MONDO_0005071	brain	9748.0
NPC1	ENSG00000141458	MONDO_0009757	MONDO_0005046	immune organ	9725.5
NSD1	ENSG00000165671	MONDO_0019349	MONDO_0002081	skeletal element	9688.0
DNM2	ENSG00000079805	MONDO_0008048	MONDO_0002081	skeletal element	9667.0
GRIK2	ENSG00000164418	MONDO_0100038	MONDO_0005071	brain	9650.0
PIEZO1	ENSG00000103335	MONDO_0035474	MONDO_0005046	immune organ	9620.0
PIEZO1	ENSG00000103335	MONDO_0008689	MONDO_0005570	spleen	9620.0
CD3D	ENSG00000167286	MONDO_0014280	MONDO_0005046	immune organ	9608.0
KIRREL3	ENSG00000149571	MONDO_0100038	MONDO_0005071	brain	9605.0
PROS1	ENSG00000184500	MONDO_0019144	MONDO_0005570	blood	9551.0
PDGFRA	ENSG00000134853	MONDO_0005453	MONDO_0004995	vasculature	9536.5
MECP2	ENSG00000169057	MONDO_0010726	MONDO_0005071	brain	9497.0
CACNA1B	ENSG00000148408	MONDO_0100516	MONDO_0005071	brain	9469.0
ADA	ENSG00000196839	MONDO_0007064	MONDO_0005046	immune organ	9461.0
SCNN1A	ENSG00000111319	MONDO_0009917	MONDO_0002118	kidney	9443.0
ATXN2	ENSG00000204842	MONDO_0008458	MONDO_0005071	brain	9435.0
HSPB8	ENSG00000152137	MONDO_0015362	MONDO_0005071	brain	9405.5
AK2	ENSG00000004455	MONDO_0009973	MONDO_0005046	immune organ	9398.0
PPT1	ENSG00000131238	MONDO_0016295	MONDO_0005071	brain	9393.0
NECAP1	ENSG00000089818	MONDO_0100062	MONDO_0005071	brain	9366.0
AP3B1	ENSG00000132842	MONDO_0011997	MONDO_0005570	blood	9331.0
CD3G	ENSG00000160654	MONDO_0014276	MONDO_0005046	immune organ	9326.0
ATRX	ENSG00000085224	MONDO_0016980	MONDO_0005071	brain	9307.0
EXT2	ENSG00000151348	MONDO_0007586	MONDO_0003900	connective tissue	9305.5
DNM1L	ENSG00000087470	MONDO_0009723	MONDO_0044970	brain	9291.0
DNM1L	ENSG00000087470	MONDO_0054865	MONDO_0044970	brain	9291.0
OPA1	ENSG00000198836	MONDO_0009723	MONDO_0044970	brain	9275.5
OPA1	ENSG00000198836	MONDO_0800181	MONDO_0044970	brain	9275.5
